,tconst,release_date,budget,revenue,genres,original_language,origin_country,production_countries name,spoken_languages name,Profit%
5,tt1179933,2016-03-10,15000000,108286421,Thriller,English,US,United States of America,English,621.91
6,tt1292566,2016-01-21,38000000,112343513,Comedy,English,US,United States of America,English,195.64
7,tt1374989,2016-02-04,28000000,16374328,Romance,English,US,United States of America,English,-41.52
8,tt1473832,2016-09-14,35000000,211952420,Comedy,English,FR,France,English,505.58
9,tt1489889,2016-06-15,50000000,216972543,Action,English,US,United States of America,English,333.95
10,tt1620935,2016-11-04,6000000,6174491,Drama,English,US,United States of America,English,2.91
11,tt1628841,2016-06-22,165000000,389681935,Action,English,US,United States of America,English,136.17
12,tt1661275,2017-04-06,11795877,3603484,Romance,English,GB,United Kingdom,English,-69.45
13,tt1700841,2016-07-11,19000000,140705322,Adventure,English,CA,Canada,English,640.55
14,tt1711525,2016-11-25,45000000,114501299,Comedy,English,US,United States of America,English,154.45
15,tt1860213,2016-01-21,11500000,94073028,Comedy,English,US,United States of America,English,718.03
16,tt1878870,2016-11-18,9000000,18803648,Comedy,English,US,United States of America,English,108.93
17,tt1935859,2016-09-28,110000000,296482446,Drama,English,BE,Belgium,English,169.53
18,tt1974419,2016-06-08,7000000,3377430,Thriller,English,DK,Denmark,English,-51.75
19,tt1974420,2016-11-23,25000000,3885342,Romance,English,US,United States of America,English,-84.46
20,tt2032572,2016-09-22,40000000,2158568,Action,English,US,United States of America,English,-94.6
21,tt2238032,2016-07-21,32000000,58500000,Action,English,CN,China,English,82.81
22,tt2241351,2016-05-12,27000000,93282604,Thriller,English,US,United States of America,English,245.49
23,tt2304933,2016-01-14,38000000,109906372,Adventure,English,US,United States of America,English,189.23
24,tt2321405,2016-10-12,8000000,5873256,Animation,Français,FR,France,Français,-26.58
25,tt2381991,2016-04-06,115000000,164989338,Action,English,US,United States of America,English,43.47
26,tt2392830,2016-10-07,8138338,1864266,Drama,English,BE,Belgium,English,-77.09
27,tt2404233,2016-02-25,140000000,150680864,Action,English,AU,Australia,English,7.63
28,tt2513074,2016-11-10,40000000,30930984,Drama,English,CN,China,English,-22.67
29,tt2547584,2016-09-02,20000000,25975621,Drama,English,AU,Australia,English,29.88
30,tt2592614,2016-12-23,40000000,312242626,Action,English,FR,France,English,680.61
31,tt2674426,2016-06-01,20000000,207945075,Drama,English,US,United States of America,English,939.73
32,tt2823054,2016-06-15,33000000,77068246,Comedy,English,US,United States of America,English,133.54
33,tt2975590,2016-03-23,250000000,873634919,Action,English,US,United States of America,English,249.45
34,tt2978102,2016-04-29,16500000,21256,Thriller,English,US,United States of America,English,-99.87
35,tt2980210,2016-04-22,30000000,4212494,Comedy,العربية,MX,Mexico,العربية,-85.96
36,tt3067166,2016-06-18,200000,2500000, , , , , ,1150.0
37,tt3135556,2016-03-13,2500000,230069,Comedy,English,US,United States of America,English,-90.8
38,tt4094724,2016-06-29,10000000,118587880,Action,English,FR,France,English,1085.88
39,tt3300542,2016-03-02,60000000,205754447,Action,English,BG,Bulgaria,English,242.92
40,tt3381008,2016-02-24,35000000,27979040,Action,English,AU,Australia,English,-20.06
41,tt3393786,2016-10-19,60000000,162146076,Action,English,CN,China,English,170.24
42,tt3416828,2016-06-23,105000000,408579038,Adventure,English,US,United States of America,English,289.12
43,tt0112792,1995-08-11,23000000,179519401,Thriller,English,US,United States of America,English,680.52
44,tt3522806,2016-08-25,40000000,125729635,Action,български език,FR,France,български език,214.32
45,tt3523996,2016-12-02,750000,2000000, , , , , ,166.67
46,tt3553442,2016-03-04,35000000,23083334,Comedy,English,US,United States of America,English,-34.05
47,tt3563080,2016-12-16,543000,181000,Action,اردو,PK,Pakistan,اردو,-66.67
48,tt3606888,2016-11-04,8000000,82703,Drama,English,GB,United Kingdom,English,-98.97
49,tt3628584,2016-04-15,20000000,55030051,Comedy,English,US,United States of America,English,175.15
50,tt3647498,2016-08-11,13000000,6903033,Action,English,FR,France,English,-46.9
51,tt3714720,2016-08-25,3800000,1016985,Comedy,English,US,United States of America,English,-73.24
52,tt3717252,2016-11-24,35000000,81093313,Action,English,US,United States of America,English,131.7
53,tt3776826,2016-07-29,1250000,55000,Thriller,English,US,United States of America,English,-95.6
54,tt3794028,2016-10-19,10300000,47748,Drama,Deutsch,CA,Canada,Deutsch,-99.54
55,tt3850544,2016-09-16,10000000,2600000, , , , , ,-74.0
56,tt3859980,2016-08-11,17000000,16000000,Adventure,हिन्दी,IN,India,हिन्दी,-5.88
57,tt3949660,2016-06-01,135000000,245623848,Action,English,US,United States of America,English,81.94
58,tt4034228,2016-11-18,9000000,78988148,Drama,English,US,United States of America,English,777.65
59,tt4034354,2016-06-24,3000000,4210454,Comedy,English,US,United States of America,English,40.35
60,tt4052882,2016-06-24,17000000,119100758,Horror,English,AU,Australia,English,600.59
