,ID,imdb_id,release_date,budget,revenue,genres,original_language,original_title,origin_country,production_countries name,spoken_languages name
3867,516979,tt8166164,2018-03-20,10000,10000,Comedy,فارسی,لونه زنبور,IR,Iran,فارسی
4030,654223,tt8262118,2018-02-16,2,10, , , , , , 
4044,517814,tt8267604,2018-10-06,4000000,64978931,Drama,العربية,کفرناحوم,LB,Lebanon,العربية
4053,517814,tt8267604,2018-10-06,4000000,64978931,Drama,العربية,کفرناحوم,LB,Lebanon,العربية
4664,546976,tt8589358,2017-09-09,10000,10000,Comedy,فارسی,دشمن زن,IR,Iran,فارسی
4690,544891,tt8602654,2018-08-23,282099,4936739,Drama,English,ಸರ್ಕಾರಿ ಹಿ. ಪ್ರಾ. ಶಾಲೆ ಕಾಸರಗೋಡು,IN,India,English
5110,608441,tt8822390,2018-11-16,3,2, , , , , , 
5318,534313,tt8925540,2018-12-07,3000000,12000000,Animation,Français,La course des tuques 3D,CA,Canada,Français
5369,278,tt0111161,1994-09-23,25000000,28341469,Drama,English,The Shawshank Redemption,US,United States of America,English
5563,579023,tt9063684,2018-10-26,11000,100000,Comedy,Română,"Pup-o, mă!",RO,Romania,Română
5811,8944,tt0486674,2008-10-17,25000000,6673422,Comedy,Français,What Just Happened,US,United States of America,Français
6200,579023,tt9063684,2018-10-26,11000,100000,Comedy,Română,"Pup-o, mă!",RO,Romania,Română
