,ID,imdb_id,release_date,budget,revenue,genres,original_language,original_title,origin_country,production_countries name,spoken_languages name
205,319070,tt1674785,2015-01-25,0,0,History,English,Drunk Stoned Brilliant Dead: The Story of the National Lampoon,US,United States of America,English
206,128450,tt1680311,2012-07-27,0,0,Family,English,Home Run Showdown,US,United States of America,English
207,553802,tt1688698,2015-04-01,0,0, ,English,Bike Against The Wind, , , 
208,244316,tt1694021,2015-02-27,10000000,0,Action,English,Into the Grizzly Maze,CA,Canada,English
209,339161,tt1698654,2015-06-12,0,0, , , , , , 
210,121869,tt1702429,2015-02-11,0,0,Comedy,Español,Eisenstein in Guanajuato,BE,Belgium,Español
211,330220,tt1706625,2015-03-12,0,0,Action,English,The Girl Is in Trouble,US,United States of America,English
212,246127,tt1707380,2015-04-02,0,8034,Drama,English,Every Thing Will Be Fine,SE,Sweden,English
213,259749,tt1710898,2014-01-01,0,0, , , , , , 
214,289560,tt1720161,2015-08-17,0,0, ,English,Messina High, , , 
215,171037,tt1720280,2012-09-28,0,0, ,English,Tony Tango, , , 
216,335310,tt1723659,2015-09-18,0,0,Comedy,Français,Being Canadian,CA,Canada,Français
217,86828,tt1727770,2015-06-26,0,6303792,Comedy,English,Absolutely Anything,GB,United Kingdom,English
218,273477,tt1727776,2015-10-23,15000000,14860766,Comedy,English,Scouts Guide to the Zombie Apocalypse,US,United States of America,English
219,332977,tt1727849,2014-01-01,0,0, , , , , , 
220,248574,tt1731701,2015-04-30,0,6075,Adventure,English,Barely Lethal,US,United States of America,English
221,427301,,,0,0, ,English,Cats Dancing on Jupiter, , , 
222,204473,tt1732651,2015-07-01,0,0,Comedy,English,Ghost Shark 2: Urban Jaws,NZ,New Zealand,English
223,321779,tt1734579,2015-10-22,1509896,0,Drama,Français,Ztraceni v Mnichově,CZ,Czech Republic,Français
224,274504,tt1735907,2016-04-15,0,13191,Thriller,English,The Adderall Diaries,US,United States of America,English
225,336405,tt1736040,2015-05-19,0,0,Horror,English,Awake In The Woods,US,United States of America,English
226,345684,tt1737724,2015-05-30,0,0, , , , , , 
227,351960,tt1754331,2015-09-16,0,0,Adventure,Français,Le Grand Tout,FR,France,Français
228,300686,tt1754736,2015-04-15,0,0,Drama,English,Chloe and Theo,US,United States of America,English
229,309919,tt1772261,2015-08-21,2000000,0,Thriller,English,The Curse of Downers Grove,US,United States of America,English
230,256924,tt1772288,2015-03-19,10000000,10835752,Comedy,English,Danny Collins,US,United States of America,English
231,335849,tt1773687,2015-04-13,0,0,Romance,English,Single In South Beach,US,United States of America,English
232,319074,tt1780871,2015-01-23,0,0, , , , , , 
233,367420,tt1817294,2015-11-12,0,0,Comedy,Deutsch,God of Happiness,DE,Germany,Deutsch
234,198184,tt1823672,2015-03-04,49000000,104399548,Crime,English,Chappie,US,United States of America,English
235,387911,tt1827429,2015-10-28,0,0, , , , , , 
236,366269,tt1827509,2015-10-27,0,0, , , , , , 
237,423530,tt1828251,,0,0,Science Fiction,Français,Journey to Mt. Fuji,US,United States of America,Français
238,251267,tt1836869,2015-04-10,0,0,Thriller,English,Nobody Can Cool,US,United States of America,English
239,300155,tt1837562,2015-05-14,0,228136,Romance,English,A Royal Night Out,GB,United Kingdom,English
240,404586,tt1839593,2015-10-10,3500000,0,Thriller,English,You Bury Your Own,US,United States of America,English
241,335663,tt1847529,2015-05-06,0,0,Drama,English,Ladygrey,ZA,South Africa,English
242,407968,tt1855977,2015-09-01,0,0, , , , , , 
