,tconst,primaryTitle,startYear,Metascore,imdbRating,imdbVotes,Title
1386,tt10198924,Voice of the Epilepsies,2018,N/A,N/A,N/A,Voice of the Epilepsies
1387,tt10198952,The Come Up Detroit Movie,2018,N/A,N/A,N/A,The Come Up Detroit Movie
1410,tt10203276,El Año del Leon,2018,N/A,N/A,N/A,El Año del Leon
1411,tt10203480,<3,2018,N/A,4.8,8,<3
1412,tt10203768,Sunday in Houston,2018,N/A,N/A,N/A,Sunday in Houston
1413,tt10203806,Me and Mrs. Jones,2018,N/A,N/A,N/A,Me and Mrs. Jones
1420,tt10204300,Shwe Kyar,2018,N/A,5.7,16,Shwe Kyar
1438,tt10207850,Killer in Law,2018,N/A,5.0,225,Killer in Law
1454,tt10209962,LONG LIVE X: The Life and Death of XXXTENTACION,2018,N/A,N/A,N/A,LONG LIVE X: The Life and Death of XXXTENTACION
1456,tt10210298,Frits de Gids (Ladies' Man),2018,N/A,N/A,N/A,Frits de Gids (Ladies' Man)
1458,tt10210652,Je kan toch lezen... (Missing Pages),2018,N/A,N/A,N/A,Je kan toch lezen... (Missing Pages)
1460,tt10212512,Bedaad,2018,N/A,N/A,N/A,Bedaad
1465,tt10213480,"Moananuiakea: One Ocean, One People, One Canoe",2018,N/A,N/A,N/A,"Moananuiakea: One Ocean, One People, One Canoe"
1468,tt10214178,"Khan, The Mentor",2018,N/A,N/A,N/A,"Khan, The Mentor"
1473,tt10214546,Delfin Pentagon,2018,N/A,N/A,N/A,Delfin Pentagon
1474,tt10214666,Little Mermaid,2018,N/A,N/A,N/A,Little Mermaid
1475,tt10214682,Jack and the Beanstalk,2018,N/A,N/A,N/A,Jack and the Beanstalk
1476,tt10214698,Aladdin and the Magic Lamp,2018,N/A,N/A,N/A,Aladdin and the Magic Lamp
1487,tt10215456,The Scenery Through the Smog,2018,N/A,N/A,N/A,The Scenery Through the Smog
1494,tt10217452,Ghostmist Island,2018,N/A,N/A,N/A,Ghostmist Island
1504,tt10217930,Wiren,2018,N/A,6.7,33,Wiren
1510,tt10218724,Rok Sako To Rok Lo,2018,N/A,N/A,N/A,Rok Sako To Rok Lo
1522,tt10219196,The Movement,2018,N/A,N/A,N/A,The Movement
1532,tt10221796,Mother Tongue,2018,N/A,N/A,N/A,Mother Tongue
1534,tt10222704,D'une Rive a l'Autre,2018,N/A,N/A,N/A,D'une Rive a l'Autre
1537,tt10223328,Mareyeurs,2018,N/A,N/A,N/A,Mareyeurs
1550,tt10224738,Aamrityu,2018,N/A,N/A,N/A,Aamrityu
1553,tt10224896,Fever...,2018,N/A,N/A,N/A,Fever...
1558,tt10225308,Surfeando tu Mundo,2018,N/A,N/A,N/A,Surfeando tu Mundo
1566,tt10227188,Marco Polo Silk Road,2018,N/A,N/A,N/A,Marco Polo Silk Road
1578,tt10228896,The Wounded Healer,2018,N/A,N/A,N/A,The Wounded Healer
1588,tt10230042,Rok Sako To Rok Lo,2018,N/A,N/A,N/A,Rok Sako To Rok Lo
1595,tt10230450,Extraordinary People: The Boys With No Skin,2018,N/A,N/A,N/A,Extraordinary People: The Boys With No Skin
1597,tt10230504,Extraordinary People: Frozen From Dusk Till Dawn,2018,N/A,N/A,N/A,Extraordinary People: Frozen From Dusk Till Dawn
1601,tt10230604,The Cut,2018,N/A,N/A,N/A,The Cut
1604,tt10230716,Heritage (Nobel),2018,N/A,N/A,N/A,Heritage (Nobel)
1606,tt10232196,Maður sviðs og söngva,2018,N/A,N/A,N/A,Maður sviðs og söngva
1611,tt10233354,Going Home for Tet,2018,N/A,N/A,N/A,Going Home for Tet
