,tconst,primaryTitle,startYear,Metascore,imdbRating,imdbVotes,Title
16897,tt2545384,Home,2016,N/A,3.9,321,Home
16899,tt2545538,Hollow Creek,2016,N/A,4.2,576,Hollow Creek
16900,tt2545652,Haima,2016,N/A,6.1,11,Haima
16905,tt2547584,The Light Between Oceans,2016,60,7.2,"50,931",The Light Between Oceans
16917,tt2552684,Long Live the King,2016,N/A,7.4,83,Long Live the King
16920,tt2554758,Sushi & Sauce Piquante: The Life & Music of Gerry McGee,2016,N/A,N/A,N/A,Sushi and Sauce Piquante
16921,tt2554842,Girl in Woods,2016,N/A,3.3,462,Girl in Woods
16924,tt2556114,Guernica,2016,N/A,5.8,"2,060",Guernica
16926,tt2556676,Blowtorch,2016,N/A,4.2,174,Blowtorch
16931,tt2558596,Futures Past,2016,N/A,N/A,N/A,Futures Past
16932,tt2558996,Dead Billy,2016,N/A,4.1,111,Dead Billy
16936,tt2563050,True Trainwreck,2016,N/A,N/A,N/A,True Trainwreck
16939,tt2564456,Hope,2016,N/A,N/A,N/A,Hope
16940,tt2565974,Razors: The Return of Jack the Ripper,2016,N/A,2.5,159,Ripper
16945,tt2567026,Alice Through the Looking Glass,2016,34,6.2,"90,429",Alice Through the Looking Glass
16948,tt2568742,Reversing the Mississippi,2016,N/A,N/A,N/A,Reversing the Mississippi
16951,tt2569292,Pushing Boundaries,2016,N/A,N/A,N/A,Pushing Boundaries
16954,tt2570574,Papa,2016,N/A,7.6,5,Papa
16956,tt2571634,Skookum: The Hunt for Bigfoot,2016,N/A,N/A,N/A,Skookum: The Hunt for Bigfoot
16957,tt2571746,The Jump! WTF Experience,2016,N/A,N/A,N/A,The Jump! The WTF Experience
16972,tt2581480,The Channel,2016,N/A,3.0,298,The Channel
16975,tt2582500,Shut In,2016,25,4.8,"12,495",Shut In
16978,tt2582782,Hell or High Water,2016,88,7.6,"199,920",Hell or High Water
16996,tt2589076,Never Ever,2016,N/A,5.0,186,Never Ever
17000,tt2592614,Resident Evil: The Final Chapter,2016,49,5.5,"82,151",Resident Evil: The Final Chapter
17007,tt2596368,Lockhart: Unleashing the Talisman,2016,N/A,4.6,53,Lockhart: Unleashing the Talisman
17010,tt2597342,La Gravedad del Púgil,2016,N/A,6.1,9,La Gravedad del Púgil
17013,tt2597768,Come and Find Me,2016,46,5.7,"7,927",Come and Find Me
